# raw folder/library name<TAB>clean display name
# Maintained by tools/apply_name_cleanup.py / tools/update_catalog.py.
# Consumed by build-ds-catalog-html.sh and build-kontakt-catalog-html.sh
# via name_override() so a rebuild keeps these clean names instead of
Garv_Babblings_Sampler	Garv Babblings
GjallarHorn	Gjallar Horn
Grandpas Piano (DS)	Grandpas Piano
Gretsch Catalina Ash - Decent Sampler	Gretsch Catalina Ash
GroveBass	Grove Bass
Guitar Precussion 1.1	Guitar Precussion
Helsinkii1967 DecentSampler v.1.411	Helsinkii1967
HomePercussions	Home Percussions
IMPACTOS HYBRID PERCUSSION	Impactos Hybrid Percussion
IrishTinWhistle	Irish Tin Whistle
Italian Typewriter (DS)1.0	Italian Typewriter
Jon's Cajons v1.0	Jon's Cajons
Jouhikko-TheFinnishBowedLyre	Jouhikko The Finnish Bowed Lyre
Junost 21 _ Soviet Virtual Synth FREE (DS_EXS)	Junost 21 Soviet Virtual Synth Free
Kalimba (G Pygmy)	Kalimba G Pygmy
Kalimba_by_Lasiurus	Kalimba By Lasiurus
Kantele-TheFinnishZither	Kantele The Finnish Zither
Kontakt	Drumforge Ultimate
Kosmosky Tongue Drum(v1.0)	Kosmosky Tongue Drum
Legacy Knight Piano v1.0	Legacy Knight Piano
MELODIES	Melodies
MORE Violin Experiments v1.1	More Violin Experiments
Maracas_by_Estudios Ivcame	Maracas by Estudios Ivcame
MicroGuitar	Micro Guitar
Milk Factory - jd cheetham	Milk Factory - Jd Cheetham
Mini Drum Lone Singer (DS)	Mini Drum Lone Singer
Mini Drum Magic Ladder (DS)	Mini Drum Magic Ladder
Mini Kalimba v1.1	Mini Kalimba
Mixing Bowl DS	Mixing Bowl
Modern Acoustic Guitar V2	Modern Acoustic Guitar
MorphoLute_by_Magisk	Morpho Lute By Magisk
Murky Roads (DS)	Murky Roads
MyDuduk	My Duduk
NT Angelic Dramatic v2	NT Angelic Dramatic
NT Subharmonic Memory Unit v1	NT Subharmonic Memory Unit
Nicks-LP-Studio	Nicks LP Studio
OOTG Piano DS	Ootg Piano
Organ of the Damned (DS)	Organ of the Damned
Orgel Unterhaus 2.1	Orgel Unterhaus
PAMAHA	Pamaha
PD_Big_Brother	PD Big Brother
Paweł Lewicki - Birdy Kalimba (DS)	Paweł Lewicki - Birdy Kalimba
PencilGuitar-V2	Pencil Guitar
Phobos - Canvas [ESSENTIAL EDITION] (0.8.9)	Phobos - Canvas Essential Edition
Piano Percussions_v1.0	Piano Percussions
Polaroid CL635 (DS)	Polaroid CL635
RGBwaves	RGB Waves
RJS Classic Electric v1_1	RJS Classic Electric 1
RJS LoFi Nylon v1_1	RJS LoFi Nylon 1
RJS Vocal Pads v1_1	RJS Vocal Pads 1
Rain Choir V1.1	Rain Choir
Rain Choir V1.1 (1)	Rain Choir (1)
Reluctant Autoharp (DS)	Reluctant Autoharp
Roaring Saxophone (DS)	Roaring Saxophone
Rosedale_Cortina_Virtuoso	Rosedale Cortina Virtuoso
Schlagwerk_U78_Side_Skin_Udu	Schlagwerk U78 Side Skin Udu
Seaside Transistor Organ (DS)	Seaside Transistor Organ
Sewers 1.0.2	Sewers
