linux_path	wine_path	instruments	encoded	presets	samples	nonkontakt	files
/mnt/storage/BACKUP/Backup_julij_2024_Ableton_Projects/Live Recordings/Temp-16 Project	E:\BACKUP\Backup_julij_2024_Ableton_Projects\Live Recordings\Temp-16 Project	0	0	0	0	0	3
/mnt/storage/BACKUP/Backup_julij_2024_Ableton_Projects/Live Recordings/Temp-5 Project	E:\BACKUP\Backup_julij_2024_Ableton_Projects\Live Recordings\Temp-5 Project	0	0	0	0	0	3
/mnt/storage/BACKUP/Backup_julij_2024_Ableton_Projects/Live Recordings/Temp-9 Project	E:\BACKUP\Backup_julij_2024_Ableton_Projects\Live Recordings\Temp-9 Project	0	0	0	0	0	3
