linux_path	wine_path	instruments	encoded	presets	samples	nonkontakt	files
/mnt/storage/Programs/Ultimate Orchestral Sample Toolkit [BanannaButt]	E:\Programs\Ultimate Orchestral Sample Toolkit [BanannaButt]	1087	16	0	1	0	1180
/mnt/storage/Programs/Ultimate Orchestral Toolkit (Kontakt)[BananaButt]	E:\Programs\Ultimate Orchestral Toolkit (Kontakt)[BananaButt]	51	16	0	0	0	112
/mnt/storage/REC/IZ F DRIVE-a/REC/REAPER PROJECTS/take01	E:\REC\IZ F DRIVE-a\REC\REAPER PROJECTS\take01	0	0	0	42	0	108
/mnt/storage/REC/Tvar/BASS Posnetki/Kralj/Nadiža	E:\REC\Tvar\BASS Posnetki\Kralj\Nadiža	0	0	0	9	0	20
/mnt/storage/REC/Tvar/BASS Posnetki/Madness/Madness	E:\REC\Tvar\BASS Posnetki\Madness\Madness	0	0	0	14	0	30
/mnt/storage/REC/Tvar/Progbobni Miha (Backup)/EXTRACTED/HB-125	E:\REC\Tvar\Progbobni Miha (Backup)\EXTRACTED\HB-125	0	0	0	8	0	8
/mnt/storage/REC/Tvar/Progbobni Miha (Backup)/EXTRACTED/Kralj-130	E:\REC\Tvar\Progbobni Miha (Backup)\EXTRACTED\Kralj-130	0	0	0	13	0	26
/mnt/storage/REC/Tvar/Progbobni Miha (Backup)/EXTRACTED/LSD-130	E:\REC\Tvar\Progbobni Miha (Backup)\EXTRACTED\LSD-130	0	0	0	13	0	26
/mnt/storage/REC/Tvar/Progbobni Miha (Backup)/EXTRACTED/Madness-120	E:\REC\Tvar\Progbobni Miha (Backup)\EXTRACTED\Madness-120	0	0	0	13	0	26
/mnt/storage/REC/Tvar/Progbobni Miha (Backup)/EXTRACTED/Nadiza-130	E:\REC\Tvar\Progbobni Miha (Backup)\EXTRACTED\Nadiza-130	0	0	0	13	0	26
/mnt/wd_black/Kontakt VST-i Library/New Century Orchestral Series, The - Ensemble Strings [8Dio]	F:\Kontakt VST-i Library\New Century Orchestral Series, The - Ensemble Strings [8Dio]	193	2	0	0	0	199
